1001,Alice,Smith,sd1001@uni123st.edu.au
1002,Bob,Johnson,sd1002@uni123st.edu.au
1003,Charlie,Brown,sd1003@uni123st.edu.au
1004,David,Lee,sd1004@uni123st.edu.au
1005,Emily,Davis,sd1005@uni123st.edu.au
1006,Frank,Wilson,sd1006@uni123st.edu.au
1007,Grace,Taylor,sd1007@uni123st.edu.au
1008,Henry,Anderson,sd1008@uni123st.edu.au
1009,Isabella,Thomas,sd1009@uni123st.edu.au
1010,Jack,Hill,sd1010@uni123st.edu.au
1011,Kate,Baker,sd1011@uni123st.edu.au
1012,Liam,Carter,sd1012@uni123st.edu.au
1013,Maria,Evans,sd1013@uni123st.edu.au
1014,Noah,Robinson,sd1014@uni123st.edu.au
1015,Olivia,Lewis,sd1015@uni123st.edu.au
1016,Parker,Allen,sd1016@uni123st.edu.au
1017,Quinn,Williams,sd1017@uni123st.edu.au
1018,Riley,Jones,sd1018@uni123st.edu.au
1019,Sophia,Clark,sd1019@uni123st.edu.au
1020,Tyler,Brown,sd1020@uni123st.edu.au
